"","employees","salaries.2014","salaries.2015","raise","got.raise"
"41","Employee 41",41971.6080022044,47573.7436371855,5602.1356349811,TRUE
"42","Employee 42",45033.2711194642,43596.0470349528,-1437.2240845114,FALSE
"43","Employee 43",47996.4811471291,55848.9348669536,7852.45371982455,TRUE
"44","Employee 44",40594.2800128832,47480.6113447994,6886.33133191615,TRUE
"45","Employee 45",46499.026210513,46929.8847927712,430.858582258224,TRUE
"46","Employee 46",48806.5429218113,51954.6599732712,3148.11705145985,TRUE
"47","Employee 47",41546.8094847165,53808.4357487969,12261.6262640804,TRUE
"48","Employee 48",46596.8797705136,46374.038613867,-222.841156646609,FALSE
"49","Employee 49",42432.1001558565,41966.472750064,-465.627405792475,FALSE
"50","Employee 50",47827.4243092164,62670.857720077,14843.4334108606,TRUE
"51","Employee 51",45214.7587295622,53089.1460459679,7874.38731640577,TRUE
"52","Employee 52",47406.6835688427,58940.2025891468,11533.5190203041,TRUE
"53","Employee 53",41558.6383547634,40609.567919746,-949.070435017347,FALSE
"54","Employee 54",45902.4918568321,43021.1640079506,-2881.32784888148,FALSE
"55","Employee 55",42530.7558267377,39095.1663837768,-3435.58944296092,FALSE
"56","Employee 56",42449.6001168154,48619.954183232,6170.35406641662,TRUE
"57","Employee 57",41709.209990222,38722.0304762013,-2987.17951402068,FALSE
"58","Employee 58",42054.4204348698,39212.6116715372,-2841.80876333266,FALSE
"59","Employee 59",49556.7869557999,60747.8111819364,11191.0242261365,TRUE
"60","Employee 60",44070.3367395326,52446.5478258207,8376.21108628809,TRUE
"61","Employee 61",48968.5410051607,46934.1616542079,-2034.3793509528,FALSE
"62","Employee 62",49673.9665372297,59818.2619921863,10144.2954549566,TRUE
"63","Employee 63",42538.414306473,46671.7535699718,4133.33926349878,TRUE
"64","Employee 64",41736.0789747909,54444.8508275673,12708.7718527764,TRUE
"65","Employee 65",43553.3353732899,52186.6554580629,8633.320084773,TRUE
"66","Employee 66",43593.9624998719,51291.2849569693,7697.32245709747,TRUE
"67","Employee 67",48441.6400478221,50853.9624861442,2412.32243832201,TRUE
"68","Employee 68",42964.5320423879,47826.5146235935,4861.98258120567,TRUE
"69","Employee 69",46480.2720374428,55420.3793196939,8940.10728225112,TRUE
"70","Employee 70",49205.1750072278,63262.5308330171,14057.3558257893,TRUE
"71","Employee 71",49758.4893438034,47348.2054448687,-2410.28389893472,FALSE
"72","Employee 72",43451.994608622,46974.6847893111,3522.6901806891,TRUE
"73","Employee 73",46614.6108182147,51840.0836875662,5225.47286935151,TRUE
"74","Employee 74",40896.6486901045,42227.3634979501,1330.71480784565,TRUE
"75","Employee 75",47246.715775691,43077.5805283338,-4169.13524735719,FALSE
"76","Employee 76",45740.0632696226,60198.7728849053,14458.7096152827,TRUE
"77","Employee 77",46105.7584895752,45611.0029178672,-494.755571708083,FALSE
"78","Employee 78",46268.9961702563,42339.5880288444,-3929.40814141184,FALSE
"79","Employee 79",42615.6865339726,43406.701926142,791.015392169356,TRUE
"80","Employee 80",47936.1209087074,60537.085630931,12600.9647222236,TRUE
"81","Employee 81",41408.3285653032,40565.0550569408,-843.273508362472,FALSE
"82","Employee 82",49059.562087059,56892.4206495285,7832.85856246948,TRUE
"83","Employee 83",48470.5256088637,56174.0741529502,7703.54854408652,TRUE
"84","Employee 84",46954.1568122804,51421.4018406346,4467.24502835423,TRUE
"85","Employee 85",46133.586645592,41367.0597481541,-4766.52689743787,FALSE
"86","Employee 86",49275.8259479888,50966.4974431507,1690.67149516195,TRUE
"87","Employee 87",46829.5088410378,48317.0692855492,1487.56044451147,TRUE
"88","Employee 88",41700.3770079464,54342.2243185341,12641.8473105878,TRUE
"89","Employee 89",42114.4953905605,56517.8758627735,14403.380472213,TRUE
"90","Employee 90",47281.2238312326,48342.5841503777,1061.36031914502,TRUE
"91","Employee 91",47100.637818221,53145.0498546474,6044.41203642637,TRUE
"92","Employee 92",47048.2364436612,45194.3863742054,-1853.8500694558,FALSE
"93","Employee 93",46519.7639912367,59720.8826662973,13201.1186750606,TRUE
"94","Employee 94",45230.2122162655,43193.7005743384,-2036.51164192706,FALSE
"95","Employee 95",40825.5864842795,52441.9781682082,11616.3916839287,TRUE
"96","Employee 96",42178.2892895862,47384.5934774727,5206.30418788642,TRUE
"97","Employee 97",41513.6161097325,50435.7749945484,8922.15888481587,TRUE
"98","Employee 98",43748.6395449378,56881.176463794,13132.5369188562,TRUE
"99","Employee 99",40948.3652026393,46039.6516812034,5091.28647856414,TRUE
"100","Employee 100",43241.5890833363,41531.3194552436,-1710.26962809265,FALSE
